,REQUEST_GUID,FORM_ID,COUNTRY,USAGE,UPDATE_DT,FUNCTION,RESULT_INDICATOR,OPERATOR,LIMIT,UNIT,HIGH_OPERATOR,HIGH_LIMIT,CITATION,REGLINK,COMMENTS,CITATION_UPDATE_IN_PROGRESS,REGULATION_NAME
1012403,20211122226,215389,Sao Tome and Principe,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012404,20211122226,215389,Central African Republic,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012405,20211122226,215389,Montenegro,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,EU Pesticides Database: Regulation (EC) 396/2005 as amended - Thiamethoxam,doc=eu_pest_en.pdf&pg=1,**Citation details:**<br>    **Substance:** Thiamethoxam **function:** Pesticides  **usage:** 0610000 Teas **country:** European Union  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012406,20211122226,215389,Papua New Guinea,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012420,20211122226,215389,Saint Vincent and the Grenadines,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012421,20211122226,215389,Angola,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012422,20211122226,215389,Monaco,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,EU Pesticides Database: Regulation (EC) 396/2005 as amended - Thiamethoxam,doc=eu_pest_en.pdf&pg=1,**Citation details:**<br>    **Substance:** Thiamethoxam **function:** Pesticides  **usage:** 0610000 Teas **country:** European Union  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012427,20211122226,215389,Anguilla,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,EU Pesticides Database: Regulation (EC) 396/2005 as amended - Thiamethoxam,doc=eu_pest_en.pdf&pg=1,**Citation details:**<br>    **Substance:** Thiamethoxam **function:** Pesticides  **usage:** 0610000 Teas **country:** European Union  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012429,20211122226,215389,Chad,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012430,20211122226,215389,Swaziland,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
